Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DeepPlankter_main.PrjPcb|ReportField=ProjectFullPath~C:\ProgramData\Altium\CircuitMaker {BA657615-14D7-4D23-BE90-ECA23E6CE23B}\Projects\14B7AC5A-9C3F-450A-BE9C-41717958E82D\bba2cfcc-89ec-4ac1-bc65-a815e1a7209c\DeepPlankter_main.PrjPcb|ReportField=Title~BOM_PartType For Project [DeepPlankter_main.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~257|ReportField=ReportTime~16:03:12|ReportField=ReportDate~2021/1/24|ReportField=ReportDateTime~2021/1/24 16:03:12|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~DeepPlankter_main.PrjPcb|ReportField=DataSourceFullPath~C:\ProgramData\Altium\CircuitMaker {BA657615-14D7-4D23-BE90-ECA23E6CE23B}\Projects\14B7AC5A-9C3F-450A-BE9C-41717958E82D\bba2cfcc-89ec-4ac1-bc65-a815e1a7209c\DeepPlankter_main.PrjPcb
JST B2B-XH-A (LF)(SN)|XH Series 2 Position 2.5 mm Pitch Through Hole Top Entry Shrouded Header|3.3V_CH1, 3.3V_CH2, 5V_CH1, 5V_CH2, 5V_CH3, ADC, BAT_CHG1, BUZZER, LED, NTC0, NTC1|PCB-s8s8ac3ylnu6waak0fxh-1|CMP-a2a66bdac84f7d61-16|11
XT60 BAT0|XT60 Connector Male|BAT0|PCB-8tmbcd94dx0l5ponnqur-1|CMP-d8151592827e07d2-9|1
XT60 BAT1|XT60 Connector Male|BAT1|PCB-8tmbcd94dx0l5ponnqur-1|CMP-d8151592827e07d2-9|1
CHARGE BAT0|XH Series 2 Position 2.5 mm Pitch Through Hole Top Entry Shrouded Header|BAT_CHG0|PCB-s8s8ac3ylnu6waak0fxh-1|CMP-a2a66bdac84f7d61-16|1
2032|Coin Cell Battery Holders 20MM (2032) SMT CELL HOLDER|BT1|PCB-u4kor45r34oj4lfal23t-1|CMP-19301741-10|1
16V 1uF|Cap Ceramic 1uF 10V X5R 20% SMD 0402 85C Paper T/R|C1, C2, C3|CAPC1005X56X25NL10T15|CMP-126963-2|3
1¶ÃF|0603 1 uF 16 V °¿10 % Tolerance X5R SMT Multilayer Ceramic Capacitor|C4, C17, C18, C19, C32, C32, C35, C37, C41, C42|CAPC1608X90X35LL15T15|CMP-f2f83b8d074c2d3f-6|10
1uF|Cap Ceramic 1uF 10V X5R 20% SMD 0402 85C Paper T/R|C5, C6, C7, C57, C58, C59, C60, C61, C62|CAPC1005X56X25NL10T15|CMP-126963-2|9
10V 22uF|Cap Ceramic 22uF 10V X5R 10% Pad SMD 1206 85C Automotive T/R|C8, C9, C10, C11, C12|PCB-l6gghpm6qgmuzlt59psh-1|CMP-1dc8d7348becc20f-1|5
10uF|0603 10 uF 10 V °¿20 % Tolerance X5R Surface Mount Multilayer Ceramic Capacitor|C13, C15|PCB-7x9sd7nowcb4nx8jmhok-1|CMP-9bf553a3f2f54432-1|2
4.7¶ÃF|0603 4.7 uF 10 V °¿10 % Tolerance X5R SMT Multilayer Ceramic Capacitor|C14|CAPC1608X90X35LL15T15|CMP-147010-6|1
10nF|0.01uF Capacitor|C16, C33, C36, C38, C39|RESC1005X40X25LL05T05|CMP-16527022-3|5
4.7¶ÃF|0603 4.7 uF 10 V °¿10 % Tolerance X5R SMT Multilayer Ceramic Capacitor|C20, C21, C22, C29, C55, C56, C64, C75|CAPC1608X90X35NL15T15|CMP-147010-6|8
8pF|CAP CER 8PF 50V NP0 0402|C23, C24, C25, C26|CAPC1005X55X25NL05T10|CMP-137744-2|4
100nF|Ceramic capacitor SMD-0402 100nF /16V X7R# K +-10%, Samsung, RoHS|C27, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C76, C78, C79, C80|CAPC1005X56X25NL10T15|CMP-bf2276a55d9a60e5-19|15
1uF|Cap Ceramic 1uF 10V X5R 10% SMD 0402 85C Paper T/R|C28, C77|CAPC1005X60X30LL05T10|CMP-8752271-2|2
2.2uF|AVX   04026D225KAT2A   CAP, MLCC, X5R, 2.2UF, 6.3V, 0402|C30, C31|CAPC1005X56X25LL10T15|CMP-954275-2|2
25V 2.2uF|0805 2.2 uF 25 V °¿10 % Tolerance X7R SMT Multilayer Ceramic Capacitor|C34, C40|C0805|CMP-84b64f3479215b71-1|2
0.1uF|Cap Ceramic 0.1uF 16V X7R 10% SMD 0603 125C Paper T/R|C43, C49|CAPC1608X90X35LL15T15|CMP-175023-2|2
