timestamp,cpu_load,sys_ram,sys_sd,sys_volt,sys_curr,sys_pwr,sys_vbat,mcu_temp,gyro_temp,bat_v0,bat_i0,bat_ich0,bat_t0,bat_soc0,bat_v1,bat_i1,bat_ich1,bat_t1,bat_soc1,esc_i,serv_i1,serv_i2,eular_x,eular_y,eular_z,pressure,humidity,air_temp,servo1_ang,servo2_ang,esc_thr,gnss_lat,gnss_lon,gnss_speed,gnss_alt,gnss_course,gnss_sat
1646585545,0.00,0.000,0.000,2.496,0.1017,0.8177,2.9675,24.3,19.250,8.0159,-0.0652,0.0006,0.0000,0.0000,7.9534,-0.0357,0.0005,0.0000,0.0000,-0.0018,0.0384,0.0139,4.57,-2.54,-50.04,102359.55,35.14,22.042,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585546,0.00,0.000,0.000,2.500,0.1075,0.8647,3.0742,24.2,19.375,8.0340,-0.0673,-0.0001,0.0000,0.0000,7.9692,-0.0393,0.0014,0.0000,0.0000,-0.0004,0.0259,0.0149,5.54,-2.38,-57.68,102357.95,35.01,22.020,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585547,0.00,0.000,0.000,2.501,0.0826,0.6623,3.0301,23.8,19.250,8.0375,-0.0528,-0.0002,0.0000,0.0000,7.9763,-0.0270,0.0028,0.0000,0.0000,-0.0014,0.0230,0.0161,5.47,-1.71,-64.51,102357.55,34.94,22.031,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585548,0.00,0.000,0.000,2.501,0.0844,0.6768,3.0978,23.8,19.250,8.0405,-0.0536,0.0005,0.0000,0.0000,7.9794,-0.0288,0.0015,0.0000,0.0000,-0.0027,0.0201,0.0173,5.55,-1.19,-70.56,102360.09,34.74,22.026,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585549,0.00,0.000,0.000,2.501,0.0940,0.7539,3.0844,23.6,19.250,8.0421,-0.0570,-0.0003,0.0000,0.0000,7.9812,-0.0358,0.0015,0.0000,0.0000,0.0008,0.0191,0.0177,5.60,-0.50,-77.05,102357.01,34.59,21.998,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585551,0.00,0.000,0.000,2.502,0.1008,0.8053,3.0752,24.0,19.125,8.0423,-0.0584,-0.0006,0.0000,0.0000,7.9796,-0.0412,0.0015,0.0000,0.0000,0.0032,0.0191,0.0177,5.95,-0.26,-82.92,102360.04,34.41,21.995,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585552,0.00,0.000,0.000,2.502,0.0911,0.7298,3.0684,24.1,19.250,8.0402,-0.0533,0.0002,0.0000,0.0000,7.9780,-0.0369,0.0011,0.0000,0.0000,0.0007,0.0193,0.0180,6.20,0.24,-88.10,102362.09,34.26,21.989,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585553,0.00,0.000,0.000,2.502,0.0977,0.7833,2.9974,24.1,19.250,8.0392,-0.0574,-0.0005,0.0000,0.0000,7.9810,-0.0402,0.0006,0.0000,0.0000,0.0003,0.0189,0.0195,5.89,0.52,-92.32,102361.25,34.13,21.989,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585554,0.00,0.000,0.000,2.503,0.0976,0.7828,3.0777,24.3,19.250,8.0432,-0.0569,-0.0009,0.0000,0.0000,7.9815,-0.0403,0.0013,0.0000,0.0000,0.0012,0.0207,0.0184,6.38,1.00,-95.70,102362.23,34.08,21.993,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
1646585555,0.00,0.000,0.000,2.503,0.0930,0.7453,3.0600,24.2,19.250,8.0457,-0.0517,-0.0005,0.0000,0.0000,7.9814,-0.0414,0.0004,0.0000,0.0000,-0.0027,0.0194,0.0175,6.10,1.31,-98.33,102364.05,34.05,21.984,0.0,0.0,0,0.000000,0.000000,0.00,nan,0.0,0
